"","Tracking.ID","Duration","Mean.Intensity","Speed","Int.var","Track.Length","type"
"7",7,90,970.406724717882,0.00178314375382419,192421.435434105,150.838333129883,"B"
"8",8,34,1122.44378482594,0.0021653731541433,160210.969750557,64.3115844726563,"B"
"9",9,34,1013.39654900046,0.00232745242079325,264659.053070545,69.1253356933594,"B"
"12",12,41,1833.72839206603,0.00247275982001156,1156777.02958731,89.0193557739258,"B"
"14",14,33,1208.09249045632,0.00213485015001425,140461.85947919,74.8107681274414,"B"
"15",15,33,1543.4785415187,0.00714498221896065,99432.931681794,205.775482177734,"B"
"16",16,33,2178.55285644531,0.00678787590004503,180211.105645423,195.490829467773,"B"
"18",18,82,1766.62785972037,0.00560976681766606,127823.643546975,410.038665771484,"B"
"20",20,256,2448.17751801014,0.00192991934768632,1501875.3171899,442.918548583984,"B"
"21",21,37,1070.74570444468,0.0020612237979852,124694.907994954,82.4732208251953,"B"
"22",22,78,886.10007026868,0.00389273782289442,63828.690937769,275.162445068359,"B"
"23",23,85,910.818291159238,0.00328874028456907,78032.3698573635,262.860260009766,"B"
"26",26,107,2832.56954014859,0.00184766434842527,187671.37711826,178.448028564453,"B"
"30",30,114,969.164577551056,0.00284257003462763,59706.914576913,297.752044677734,"B"
"33",33,37,729.153021735114,0.00285575887230354,46618.3823757379,92.5265884399414,"B"
"35",35,147,1428.10971754425,0.00500937842138826,824449.989672572,684.337158203125,"B"
"36",36,31,1088.66914810673,0.00299775243620388,176575.535544951,92.2600936889648,"B"
"37",37,38,741.763424521999,0.00232908342641659,100919.865624754,77.558479309082,"B"
"40",41,71,816.559554408974,0.00222059895396732,230295.665370281,139.897735595703,"B"
"41",42,39,1135.26254350711,0.00456502953832234,187063.736456361,156.124008178711,"B"
"42",43,51,1119.03335511451,0.0023209802643396,217226.58987307,104.444114685059,"B"
"43",45,86,2077.95417111419,0.00303015471470323,608200.385870123,231.806838989258,"B"
"44",46,123,1227.4844489369,0.00661238499852799,189275.079703017,756.583618164063,"B"
